Date,Open,High,Low,Close,Adj Close,Volume
9/1/2018,21.84,22.01,18.27,19.57,18.61791,136514742
10/1/2018,19.594999,20.790001,15.755,17.709999,16.848398,207599058
11/1/2018,17.785,19.174999,16.305,18.495001,17.595207,186418389
12/1/2018,20.25,20.25,16.530001,17.365,16.520184,123048250
1/1/2019,17.365,19.98,16.35,19.415001,18.470451,135112365
2/1/2019,19.43,20.299999,18.860001,19.305,18.365799,105560056
3/1/2019,19.485001,20.040001,17.094999,17.684999,17.058954,127050281
4/1/2019,18,21.615,17.996,21.025,20.280718,107759553
5/1/2019,21.025,21.17,15.784,16.084,15.514627,161463552
6/1/2019,15.4,15.73,13.42,15.55,14.999532,230398820
7/1/2019,16.6,18.232,15.634,17.02,16.417494,150989578
8/1/2019,17.382,17.524,14.672,15.748,15.190523,153465506
9/1/2019,15.794,18.646,15.474,16.511999,15.927477,131770147
10/1/2019,16.667999,18.386,15.278,17.378,16.762819,173403114
11/1/2019,17.384001,19.992001,17.238001,19.388,18.701666,144726759
12/1/2019,19.43,21.295,18.860001,20.309999,19.591028,96425013
1/1/2020,20.309999,22.1,19.424,19.576,18.883013,116666849
2/1/2020,19.629999,23.065001,18.098,18.794001,18.128696,176511598
3/1/2020,19.42,19.532,10.132,13.43,13.117607,338055407
4/1/2020,12.96,17.926001,12.592,16.950001,16.555729,209333947
5/1/2020,16.950001,20.450001,15.664,18.856001,18.417393,189028361
6/1/2020,18.856001,21.780001,18.67,20.875,20.389429,167078995
7/1/2020,20.625,23.6,20.325001,21.129999,20.638498,119760133
8/1/2020,21.389999,24.120001,21.190001,23.16,22.621279,94842074
9/1/2020,23.5,24.870001,22.465,24.115,23.554064,105250523
10/1/2020,24.799999,28.33,23.375,23.9,23.344065,111828702
11/1/2020,24.035,29.945,23.955,29.52,28.83334,105904237
12/1/2020,29.450001,32.029999,28.549999,31.389999,30.65984,99597628
1/1/2021,31.389999,35.919998,31.030001,33.125,32.354488,124062676
2/1/2021,32.830002,36.775002,32.830002,36,35.162609,103279958
3/1/2021,36.860001,36.959999,31.610001,36.154999,35.535156,169900199
4/1/2021,36.59,37.305,32.91,33.564999,32.989555,85986043
5/1/2021,33.665001,34.310001,29.790001,33.264999,32.694702,106177543
6/1/2021,33.419998,34.794998,31.764999,33.82,33.240189,76487486
7/1/2021,34.099998,34.23,30.215,32.134998,31.584074,88362987
8/1/2021,32.73,37.16,31.605,36.064999,35.446697,83906890
9/1/2021,36.419998,38.5,35.02,35.525002,34.915958,85840060
10/1/2021,34.985001,40.435001,33.959999,40.395,39.702469,83924188
11/1/2021,40.619999,43.845001,39.18,39.93,39.245438,92200514
12/1/2021,40.724998,42.23,37.549999,40.759998,40.061207,74933003
1/1/2022,40.849998,41.415001,34.025002,36.334999,35.71207,102593917
2/1/2022,36.855,37.264999,28.450001,30.745001,30.217907,128649696
3/1/2022,30.48,33.259998,25.690001,30.985001,30.710264,149147300
4/1/2022,31.014999,31.245001,26.115,27.450001,27.20661,81691737
5/1/2022,27.290001,29.690001,25.235001,28.940001,28.683397,84518618
6/1/2022,29.004999,29.735001,22.635,23.09,22.885267,91318685
7/1/2022,22.35,27.014999,20.674999,26.549999,26.314589,87468781
8/1/2022,26.41,29.504999,23.895,24.299999,24.084538,90988951
9/1/2022,23.950001,26.135,21.870001,22.709999,22.508636,90135456
10/1/2022,22.334999,26.42,22.08,24.639999,24.421524,85294074
11/1/2022,24.9,33.055,24.004999,31.52,31.24052,108685537
12/1/2022,32.875,33.650002,27.940001,28.43,28.177919,70315709
1/1/2023,28.635,34.105,28.605,32.915001,32.623154,70870883
2/1/2023,33.150002,36.93,33.115002,33.514999,33.217831,76719281
